time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
28,2000-08-18 10:30,6614,5358,1256,3394,0,1964,11,1617,4.0902905,25,14,5.082307,10,4.4940276,394,2786,61.114212,1,57,3853,4,1.7165844,525,1012,124,1491,690,1357,431,69,4769,522,3941,89,236,411,711,239,828,101,421,1898,2043,7,0.9866949,2836,687,691,449,274,202,60,92,
29,2000-08-18 10:31,7015,6379,636,4488,0,1891,11,815,8.607362,24,12,5.694466,10,4.8717666,161,2708,193.02484,1,6,4769,5,1.4709582,1024,493,97,1577,1224,1217,784,762,4607,1011,3624,200,128,1032,368,129,983,478,533,663,2961,8,1.5807555,2218,844,411,711,306,764,307,52,5
30,2000-08-18 10:32,3920,3274,646,2638,0,636,11,1358,2.8865979,21,12,4.523824,10,4.1233964,188,1660,71.80851,1,6,2754,4,1.4233842,335,596,121,396,436,319,439,53,2886,331,2547,19,50,255,446,50,339,55,276,1320,1227,8,0.87627554,1850,520,277,306,62,100,22,77,3
31,2000-08-18 10:33,6322,5485,837,3892,0,1593,11,2976,2.124328,23,12,4.027165,10,3.682042,428,3822,47.186916,1,20,4615,4,1.3698808,216,612,251,279,583,319,567,22,5247,215,4457,23,177,454,332,225,790,46,169,3443,1014,8,0.3902246,4326,407,400,159,112,21,23,12,1
32,2000-08-18 10:34,5423,5101,322,3700,0,1401,11,2227,2.4351146,20,17,4.1242895,11,3.9551067,399,3750,50.56391,1,23,4814,5,1.126506,437,101,5,240,371,206,364,19,4647,436,3856,191,175,380,78,219,791,166,270,3170,686,8,0.34335238,4273,334,218,100,44,84,18,8,4
33,2000-08-18 10:35,2792,2742,50,2344,0,398,11,1922,1.4526535,23,12,4.4106493,9,4.323851,347,2025,34.16715,1,5,2583,4,1.0809137,368,41,12,108,119,92,94,11,2364,366,1265,161,5,134,25,8,1099,222,144,1013,252,10,0.21095988,2402,182,63,66,7,4,3,1,
34,2000-08-18 10:36,1535,1193,342,450,0,743,11,420,3.6547618,22,13,5.281643,8,4.60855,133,731,41.338345,1,2,1210,4,1.2685951,146,310,108,322,278,335,251,8,1045,144,800,24,22,105,169,26,245,25,119,75,725,10,1.3107492,364,363,145,172,43,23,18,47,9
35,2000-08-18 10:37,4615,3079,1536,1022,0,2057,11,497,9.285714,22,12,5.771679,10,5.0347514,148,1897,104.74324,1,1,2804,4,1.645863,776,912,186,848,616,745,496,37,2267,752,2053,167,499,559,676,623,214,251,501,551,1502,9,1.2015167,1066,518,386,568,206,103,49,76,37
36,2000-08-18 10:38,5598,3239,2359,1418,0,1821,11,1823,3.0707624,24,12,5.88021,10,5.370485,234,2109,74.33761,1,11,3950,5,1.4172152,822,2206,93,907,253,881,195,66,2375,817,1675,215,67,382,1642,129,700,332,485,392,1283,15,0.8229725,1533,522,364,286,213,111,75,70,16
37,2000-08-18 10:39,2536,2081,455,1754,0,327,11,898,2.8240535,19,11,5.3301296,11,4.792888,220,1041,45.336365,1,5,2024,4,1.2529644,231,408,20,410,243,411,198,63,1792,226,1022,53,38,143,358,42,770,94,132,175,847,10,0.9416404,1100,238,317,185,53,50,44,21,6
